"","employee_id","gender","team","financial_q","role_seniority","leadership_for_level","productivity","salary","quarter","year","seniority"
"39",24588,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",18,30100,"4",2020,"Junior"
"40",24588,"Woman","Client services","2020 Q3","Entry-level","Needs improvement",19,30100,"3",2020,"Junior"
"41",24587,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",69,29200,"4",2020,"Junior"
"42",24587,"Woman","Client services","2020 Q3","Entry-level","Appropriate for level",67,29200,"3",2020,"Junior"
"43",24587,"Woman","Client services","2020 Q2","Entry-level","Appropriate for level",66,29200,"2",2020,"Junior"
"44",24587,"Woman","Client services","2020 Q1","Entry-level","Appropriate for level",67,29200,"1",2020,"Junior"
"45",24586,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",54,25300,"4",2020,"Junior"
"46",24586,"Woman","Client services","2020 Q3","Entry-level","Appropriate for level",54,25300,"3",2020,"Junior"
"47",24586,"Woman","Client services","2020 Q2","Entry-level","Appropriate for level",53,25300,"2",2020,"Junior"
"48",24586,"Woman","Client services","2020 Q1","Entry-level","Appropriate for level",53,25300,"1",2020,"Junior"
"49",24585,"Man","Client services","2020 Q4","Entry-level","Exceeds expectations",82,34100,"4",2020,"Junior"
"50",24585,"Man","Client services","2020 Q3","Entry-level","Appropriate for level",80,34100,"3",2020,"Junior"
"51",24585,"Man","Client services","2020 Q2","Entry-level","Exceeds expectations",81,34100,"2",2020,"Junior"
"52",24585,"Man","Client services","2020 Q1","Entry-level","Appropriate for level",80,34100,"1",2020,"Junior"
"53",24585,"Man","Client services","2019 Q4","Entry-level","Appropriate for level",80,34100,"4",2019,"Junior"
"54",24585,"Man","Client services","2019 Q3","Entry-level","Appropriate for level",80,34100,"3",2019,"Junior"
"55",24584,"Man","Client services","2020 Q4","Entry-level","Appropriate for level",34,36800,"4",2020,"Junior"
"56",24584,"Man","Client services","2020 Q3","Entry-level","Appropriate for level",33,36800,"3",2020,"Junior"
"57",24583,"Man","Client services","2020 Q4","Entry-level","Appropriate for level",50,32500,"4",2020,"Junior"
"58",24583,"Man","Client services","2020 Q3","Entry-level","Appropriate for level",49,32500,"3",2020,"Junior"
"59",24583,"Man","Client services","2020 Q2","Entry-level","Appropriate for level",49,32500,"2",2020,"Junior"
"60",24583,"Man","Client services","2020 Q1","Entry-level","Appropriate for level",48,32500,"1",2020,"Junior"
"61",24582,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",41,33000,"4",2020,"Junior"
"62",24582,"Woman","Client services","2020 Q3","Entry-level","Appropriate for level",39,33000,"3",2020,"Junior"
"63",24582,"Woman","Client services","2020 Q2","Entry-level","Appropriate for level",40,33000,"2",2020,"Junior"
"64",24582,"Woman","Client services","2020 Q1","Entry-level","Appropriate for level",40,33000,"1",2020,"Junior"
"65",24581,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",55,28300,"4",2020,"Junior"
"66",24581,"Woman","Client services","2020 Q3","Entry-level","Appropriate for level",56,28300,"3",2020,"Junior"
"67",24581,"Woman","Client services","2020 Q2","Entry-level","Appropriate for level",54,28300,"2",2020,"Junior"
"68",24581,"Woman","Client services","2020 Q1","Entry-level","Appropriate for level",54,28300,"1",2020,"Junior"
"69",24581,"Woman","Client services","2019 Q4","Entry-level","Appropriate for level",53,28300,"4",2019,"Junior"
"70",24581,"Woman","Client services","2019 Q3","Entry-level","Appropriate for level",53,28300,"3",2019,"Junior"
"71",24580,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",43,27900,"4",2020,"Junior"
"72",24579,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",54,28600,"4",2020,"Junior"
"73",24579,"Woman","Client services","2020 Q3","Entry-level","Appropriate for level",52,28600,"3",2020,"Junior"
"74",24578,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",68,31600,"4",2020,"Junior"
"75",24578,"Woman","Client services","2020 Q3","Entry-level","Appropriate for level",69,31600,"3",2020,"Junior"
"76",24578,"Woman","Client services","2020 Q2","Entry-level","Appropriate for level",69,31600,"2",2020,"Junior"
"77",24577,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",74,26600,"4",2020,"Junior"
"78",24576,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",56,30400,"4",2020,"Junior"
"79",24576,"Woman","Client services","2020 Q3","Entry-level","Appropriate for level",57,30400,"3",2020,"Junior"
"80",24575,"Man","Client services","2020 Q4","Entry-level","Appropriate for level",73,32300,"4",2020,"Junior"
"81",24575,"Man","Client services","2020 Q3","Entry-level","Appropriate for level",73,32300,"3",2020,"Junior"
"82",24575,"Man","Client services","2020 Q2","Entry-level","Exceeds expectations",72,32300,"2",2020,"Junior"
"83",24575,"Man","Client services","2020 Q1","Entry-level","Appropriate for level",72,32300,"1",2020,"Junior"
"84",24575,"Man","Client services","2019 Q4","Entry-level","Appropriate for level",73,32300,"4",2019,"Junior"
"85",24575,"Man","Client services","2019 Q3","Entry-level","Appropriate for level",71,32300,"3",2019,"Junior"
"86",24574,"Man","Client services","2020 Q4","Entry-level","Appropriate for level",78,36000,"4",2020,"Junior"
"87",24574,"Man","Client services","2020 Q3","Entry-level","Appropriate for level",77,36000,"3",2020,"Junior"
"88",24573,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",64,30600,"4",2020,"Junior"
"89",24573,"Woman","Client services","2020 Q3","Entry-level","Appropriate for level",64,30600,"3",2020,"Junior"
"90",24572,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",66,26700,"4",2020,"Junior"
"91",24572,"Woman","Client services","2020 Q3","Entry-level","Appropriate for level",66,26700,"3",2020,"Junior"
"92",24572,"Woman","Client services","2020 Q2","Entry-level","Appropriate for level",64,26700,"2",2020,"Junior"
"93",24572,"Woman","Client services","2020 Q1","Entry-level","Appropriate for level",65,26700,"1",2020,"Junior"
"94",24571,"Man","Client services","2020 Q4","Entry-level","Appropriate for level",47,35400,"4",2020,"Junior"
"95",24571,"Man","Client services","2020 Q3","Entry-level","Appropriate for level",46,35400,"3",2020,"Junior"
"96",24571,"Man","Client services","2020 Q2","Entry-level","Appropriate for level",45,35400,"2",2020,"Junior"
"97",24571,"Man","Client services","2020 Q1","Entry-level","Appropriate for level",46,35400,"1",2020,"Junior"
"98",24570,"Man","Client services","2020 Q4","Entry-level","Appropriate for level",52,36100,"4",2020,"Junior"
"99",24570,"Man","Client services","2020 Q3","Entry-level","Appropriate for level",52,36100,"3",2020,"Junior"
"100",24568,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",39,28800,"4",2020,"Junior"
"101",24568,"Woman","Client services","2020 Q3","Entry-level","Appropriate for level",40,28800,"3",2020,"Junior"
"102",24568,"Woman","Client services","2020 Q2","Entry-level","Appropriate for level",39,28800,"2",2020,"Junior"
"103",24568,"Woman","Client services","2020 Q1","Entry-level","Appropriate for level",39,28800,"1",2020,"Junior"
"104",24567,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",58,25100,"4",2020,"Junior"
"105",24566,"Man","Client services","2020 Q4","Entry-level","Appropriate for level",54,29700,"4",2020,"Junior"
"106",24566,"Man","Client services","2020 Q3","Entry-level","Appropriate for level",53,29700,"3",2020,"Junior"
"107",24566,"Man","Client services","2020 Q2","Entry-level","Appropriate for level",52,29700,"2",2020,"Junior"
"108",24566,"Man","Client services","2020 Q1","Entry-level","Appropriate for level",53,29700,"1",2020,"Junior"
"109",24565,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",37,28700,"4",2020,"Junior"
"110",24565,"Woman","Client services","2020 Q3","Entry-level","Appropriate for level",36,28700,"3",2020,"Junior"
"111",24564,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",41,30000,"4",2020,"Junior"
"112",24564,"Woman","Client services","2020 Q3","Entry-level","Appropriate for level",41,30000,"3",2020,"Junior"
"113",24564,"Woman","Client services","2020 Q2","Entry-level","Appropriate for level",40,30000,"2",2020,"Junior"
"114",24564,"Woman","Client services","2020 Q1","Entry-level","Appropriate for level",41,30000,"1",2020,"Junior"
"115",24563,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",50,25900,"4",2020,"Junior"
"116",24563,"Woman","Client services","2020 Q3","Entry-level","Appropriate for level",49,25900,"3",2020,"Junior"
"117",24563,"Woman","Client services","2020 Q2","Entry-level","Appropriate for level",49,25900,"2",2020,"Junior"
"118",24563,"Woman","Client services","2020 Q1","Entry-level","Appropriate for level",49,25900,"1",2020,"Junior"
"119",24562,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",56,34000,"4",2020,"Junior"
"120",24562,"Woman","Client services","2020 Q3","Entry-level","Appropriate for level",56,34000,"3",2020,"Junior"
"121",24562,"Woman","Client services","2020 Q2","Entry-level","Appropriate for level",55,34000,"2",2020,"Junior"
"122",24561,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",50,34900,"4",2020,"Junior"
"123",24561,"Woman","Client services","2020 Q3","Entry-level","Appropriate for level",49,34900,"3",2020,"Junior"
"124",24561,"Woman","Client services","2020 Q2","Entry-level","Appropriate for level",48,34900,"2",2020,"Junior"
"125",24561,"Woman","Client services","2020 Q1","Entry-level","Appropriate for level",49,34900,"1",2020,"Junior"
"126",24560,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",52,25300,"4",2020,"Junior"
"127",24560,"Woman","Client services","2020 Q3","Entry-level","Appropriate for level",51,25300,"3",2020,"Junior"
"128",24560,"Woman","Client services","2020 Q2","Entry-level","Appropriate for level",52,25300,"2",2020,"Junior"
"129",24560,"Woman","Client services","2020 Q1","Entry-level","Appropriate for level",51,25300,"1",2020,"Junior"
"130",24560,"Woman","Client services","2019 Q4","Entry-level","Appropriate for level",51,25300,"4",2019,"Junior"
"131",24560,"Woman","Client services","2019 Q3","Entry-level","Appropriate for level",51,25300,"3",2019,"Junior"
"132",24559,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",60,34500,"4",2020,"Junior"
"133",24559,"Woman","Client services","2020 Q3","Entry-level","Appropriate for level",60,34500,"3",2020,"Junior"
"134",24559,"Woman","Client services","2020 Q2","Entry-level","Appropriate for level",59,34500,"2",2020,"Junior"
"135",24559,"Woman","Client services","2020 Q1","Entry-level","Appropriate for level",58,34500,"1",2020,"Junior"
"136",24559,"Woman","Client services","2019 Q4","Entry-level","Appropriate for level",58,34500,"4",2019,"Junior"
"137",24559,"Woman","Client services","2019 Q3","Entry-level","Appropriate for level",57,34500,"3",2019,"Junior"
"138",24558,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",95,27900,"4",2020,"Junior"
"139",24558,"Woman","Client services","2020 Q3","Entry-level","Appropriate for level",96,27900,"3",2020,"Junior"
"140",24558,"Woman","Client services","2020 Q2","Entry-level","Appropriate for level",96,27900,"2",2020,"Junior"
"141",24558,"Woman","Client services","2020 Q1","Entry-level","Appropriate for level",96,27900,"1",2020,"Junior"
"142",24557,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",78,29900,"4",2020,"Junior"
"143",24557,"Woman","Client services","2020 Q3","Entry-level","Appropriate for level",79,29900,"3",2020,"Junior"
"144",24556,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",56,25800,"4",2020,"Junior"
"145",24556,"Woman","Client services","2020 Q3","Entry-level","Appropriate for level",56,25800,"3",2020,"Junior"
"146",24556,"Woman","Client services","2020 Q2","Entry-level","Appropriate for level",55,25800,"2",2020,"Junior"
"147",24556,"Woman","Client services","2020 Q1","Entry-level","Needs improvement",54,25800,"1",2020,"Junior"
"148",24555,"Man","Client services","2020 Q4","Entry-level","Appropriate for level",65,29000,"4",2020,"Junior"
"149",24555,"Man","Client services","2020 Q3","Entry-level","Appropriate for level",62,29000,"3",2020,"Junior"
"150",24554,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",64,32900,"4",2020,"Junior"
"151",24554,"Woman","Client services","2020 Q3","Entry-level","Appropriate for level",65,32900,"3",2020,"Junior"
"152",24554,"Woman","Client services","2020 Q2","Entry-level","Appropriate for level",64,32900,"2",2020,"Junior"
"153",24554,"Woman","Client services","2020 Q1","Entry-level","Appropriate for level",62,32900,"1",2020,"Junior"
"154",24553,"Man","Client services","2020 Q4","Entry-level","Exceeds expectations",69,29500,"4",2020,"Junior"
"155",24553,"Man","Client services","2020 Q3","Entry-level","Appropriate for level",69,29500,"3",2020,"Junior"
"156",24553,"Man","Client services","2020 Q2","Entry-level","Appropriate for level",68,29500,"2",2020,"Junior"
"157",24553,"Man","Client services","2020 Q1","Entry-level","Appropriate for level",67,29500,"1",2020,"Junior"
"158",24553,"Man","Client services","2019 Q4","Entry-level","Appropriate for level",67,29500,"4",2019,"Junior"
"159",24553,"Man","Client services","2019 Q3","Entry-level","Appropriate for level",68,29500,"3",2019,"Junior"
"160",24552,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",73,29500,"4",2020,"Junior"
"161",24552,"Woman","Client services","2020 Q3","Entry-level","Appropriate for level",73,29500,"3",2020,"Junior"
"162",24552,"Woman","Client services","2020 Q2","Entry-level","Appropriate for level",73,29500,"2",2020,"Junior"
"163",24551,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",54,26700,"4",2020,"Junior"
"164",24551,"Woman","Client services","2020 Q3","Entry-level","Appropriate for level",54,26700,"3",2020,"Junior"
"165",24551,"Woman","Client services","2020 Q2","Entry-level","Appropriate for level",53,26700,"2",2020,"Junior"
"166",24551,"Woman","Client services","2020 Q1","Entry-level","Appropriate for level",53,26700,"1",2020,"Junior"
"167",24551,"Woman","Client services","2019 Q4","Entry-level","Appropriate for level",52,26700,"4",2019,"Junior"
"168",24551,"Woman","Client services","2019 Q3","Entry-level","Appropriate for level",53,26700,"3",2019,"Junior"
"169",24550,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",55,27100,"4",2020,"Junior"
"170",24550,"Woman","Client services","2020 Q3","Entry-level","Appropriate for level",56,27100,"3",2020,"Junior"
"171",24550,"Woman","Client services","2020 Q2","Entry-level","Appropriate for level",56,27100,"2",2020,"Junior"
"172",24549,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",25,34000,"4",2020,"Junior"
"173",24549,"Woman","Client services","2020 Q3","Entry-level","Appropriate for level",25,34000,"3",2020,"Junior"
"174",24549,"Woman","Client services","2020 Q2","Entry-level","Appropriate for level",24,34000,"2",2020,"Junior"
"175",24549,"Woman","Client services","2020 Q1","Entry-level","Needs improvement",25,34000,"1",2020,"Junior"
"176",24548,"Man","Client services","2020 Q4","Entry-level","Appropriate for level",55,34300,"4",2020,"Junior"
"177",24548,"Man","Client services","2020 Q3","Entry-level","Appropriate for level",55,34300,"3",2020,"Junior"
"178",24547,"Man","Client services","2020 Q4","Entry-level","Appropriate for level",47,32100,"4",2020,"Junior"
"179",24547,"Man","Client services","2020 Q3","Entry-level","Appropriate for level",46,32100,"3",2020,"Junior"
"180",24546,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",81,33800,"4",2020,"Junior"
"181",24546,"Woman","Client services","2020 Q3","Entry-level","Appropriate for level",80,33800,"3",2020,"Junior"
"182",24545,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",59,29000,"4",2020,"Junior"
"183",24545,"Woman","Client services","2020 Q3","Entry-level","Appropriate for level",58,29000,"3",2020,"Junior"
"184",24545,"Woman","Client services","2020 Q2","Entry-level","Appropriate for level",59,29000,"2",2020,"Junior"
"185",24545,"Woman","Client services","2020 Q1","Entry-level","Appropriate for level",59,29000,"1",2020,"Junior"
"186",24544,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",58,25900,"4",2020,"Junior"
"187",24543,"Man","Client services","2020 Q4","Entry-level","Appropriate for level",51,34400,"4",2020,"Junior"
"188",24543,"Man","Client services","2020 Q3","Entry-level","Appropriate for level",49,34400,"3",2020,"Junior"
"189",24543,"Man","Client services","2020 Q2","Entry-level","Appropriate for level",51,34400,"2",2020,"Junior"
"190",24543,"Man","Client services","2020 Q1","Entry-level","Appropriate for level",50,34400,"1",2020,"Junior"
"191",24542,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",58,26600,"4",2020,"Junior"
"192",24542,"Woman","Client services","2020 Q3","Entry-level","Appropriate for level",59,26600,"3",2020,"Junior"
"193",24541,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",72,29600,"4",2020,"Junior"
"194",24541,"Woman","Client services","2020 Q3","Entry-level","Appropriate for level",72,29600,"3",2020,"Junior"
"195",24541,"Woman","Client services","2020 Q2","Entry-level","Appropriate for level",72,29600,"2",2020,"Junior"
"196",24541,"Woman","Client services","2020 Q1","Entry-level","Appropriate for level",72,29600,"1",2020,"Junior"
"197",24541,"Woman","Client services","2019 Q4","Entry-level","Appropriate for level",69,29600,"4",2019,"Junior"
"198",24541,"Woman","Client services","2019 Q3","Entry-level","Appropriate for level",70,29600,"3",2019,"Junior"
"199",24540,"Woman","Client services","2020 Q4","Junior I","Appropriate for level",47,32100,"4",2020,"Junior"
"200",24540,"Woman","Client services","2020 Q3","Junior I","Appropriate for level",45,32100,"3",2020,"Junior"
"201",24540,"Woman","Client services","2020 Q2","Junior I","Appropriate for level",46,32100,"2",2020,"Junior"
"202",24540,"Woman","Client services","2020 Q1","Junior I","Appropriate for level",44,32100,"1",2020,"Junior"
"203",24540,"Woman","Client services","2019 Q4","Entry-level","Appropriate for level",47,28400,"4",2019,"Junior"
"204",24540,"Woman","Client services","2019 Q3","Entry-level","Appropriate for level",27,28400,"3",2019,"Junior"
"205",24540,"Woman","Client services","2019 Q2","Entry-level","Appropriate for level",26,28400,"2",2019,"Junior"
"206",24540,"Woman","Client services","2019 Q1","Entry-level","Needs improvement",26,28400,"1",2019,"Junior"
"207",24540,"Woman","Client services","2018 Q4","Entry-level","Needs improvement",26,28400,"4",2018,"Junior"
"208",24540,"Woman","Client services","2018 Q3","Entry-level","Needs improvement",26,28400,"3",2018,"Junior"
"209",24540,"Woman","Client services","2018 Q2","Entry-level","Appropriate for level",26,28400,"2",2018,"Junior"
"210",24540,"Woman","Client services","2018 Q1","Entry-level","Needs improvement",25,28400,"1",2018,"Junior"
"211",24539,"Woman","Client services","2020 Q4","Junior I","Appropriate for level",48,29300,"4",2020,"Junior"
"212",24539,"Woman","Client services","2020 Q3","Junior I","Appropriate for level",47,29300,"3",2020,"Junior"
"213",24539,"Woman","Client services","2020 Q2","Junior I","Appropriate for level",47,29300,"2",2020,"Junior"
"214",24539,"Woman","Client services","2020 Q1","Entry-level","Appropriate for level",59,25600,"1",2020,"Junior"
"215",24539,"Woman","Client services","2019 Q4","Entry-level","Appropriate for level",38,25600,"4",2019,"Junior"
"216",24539,"Woman","Client services","2019 Q3","Entry-level","Appropriate for level",36,25600,"3",2019,"Junior"
"217",24539,"Woman","Client services","2019 Q2","Entry-level","Appropriate for level",37,25600,"2",2019,"Junior"
"218",24539,"Woman","Client services","2019 Q1","Entry-level","Appropriate for level",37,25600,"1",2019,"Junior"
"219",24538,"Woman","Client services","2020 Q4","Junior I","Appropriate for level",41,33700,"4",2020,"Junior"
"220",24538,"Woman","Client services","2020 Q3","Junior I","Appropriate for level",41,33700,"3",2020,"Junior"
"221",24538,"Woman","Client services","2020 Q2","Junior I","Appropriate for level",40,33700,"2",2020,"Junior"
"222",24538,"Woman","Client services","2020 Q1","Junior I","Appropriate for level",39,33700,"1",2020,"Junior"
"223",24538,"Woman","Client services","2019 Q4","Junior I","Appropriate for level",39,33700,"4",2019,"Junior"
"224",24538,"Woman","Client services","2019 Q3","Entry-level","Appropriate for level",69,29900,"3",2019,"Junior"
"225",24538,"Woman","Client services","2019 Q2","Entry-level","Appropriate for level",48,29900,"2",2019,"Junior"
"226",24538,"Woman","Client services","2019 Q1","Entry-level","Appropriate for level",48,29900,"1",2019,"Junior"
"227",24538,"Woman","Client services","2018 Q4","Entry-level","Appropriate for level",48,29900,"4",2018,"Junior"
"228",24538,"Woman","Client services","2018 Q3","Entry-level","Appropriate for level",47,29900,"3",2018,"Junior"
"229",24538,"Woman","Client services","2018 Q2","Entry-level","Appropriate for level",47,29900,"2",2018,"Junior"
"230",24537,"Man","Client services","2020 Q4","Junior I","Appropriate for level",50,39600,"4",2020,"Junior"
"231",24537,"Man","Client services","2020 Q3","Junior I","Appropriate for level",50,39600,"3",2020,"Junior"
"232",24537,"Man","Client services","2020 Q2","Junior I","Appropriate for level",49,39600,"2",2020,"Junior"
"233",24537,"Man","Client services","2020 Q1","Junior I","Appropriate for level",49,39600,"1",2020,"Junior"
"234",24537,"Man","Client services","2019 Q4","Junior I","Appropriate for level",46,39600,"4",2019,"Junior"
"235",24537,"Man","Client services","2019 Q3","Junior I","Appropriate for level",48,39600,"3",2019,"Junior"
"236",24537,"Man","Client services","2019 Q2","Junior I","Appropriate for level",48,39600,"2",2019,"Junior"
"237",24537,"Man","Client services","2019 Q1","Junior I","Appropriate for level",47,39600,"1",2019,"Junior"
"238",24537,"Man","Client services","2018 Q4","Junior I","Appropriate for level",46,39600,"4",2018,"Junior"
"239",24537,"Man","Client services","2018 Q3","Entry-level","Appropriate for level",63,35900,"3",2018,"Junior"
"240",24537,"Man","Client services","2018 Q2","Entry-level","Appropriate for level",42,35900,"2",2018,"Junior"
"241",24536,"Man","Client services","2020 Q4","Junior I","Appropriate for level",59,38700,"4",2020,"Junior"
"242",24536,"Man","Client services","2020 Q3","Junior I","Exceeds expectations",57,38700,"3",2020,"Junior"
"243",24536,"Man","Client services","2020 Q2","Junior I","Appropriate for level",57,38700,"2",2020,"Junior"
"244",24536,"Man","Client services","2020 Q1","Junior I","Appropriate for level",56,38700,"1",2020,"Junior"
"245",24536,"Man","Client services","2019 Q4","Junior I","Appropriate for level",57,38700,"4",2019,"Junior"
"246",24536,"Man","Client services","2019 Q3","Junior I","Appropriate for level",56,38700,"3",2019,"Junior"
"247",24536,"Man","Client services","2019 Q2","Junior I","Appropriate for level",54,38700,"2",2019,"Junior"
"248",24536,"Man","Client services","2019 Q1","Junior I","Appropriate for level",55,38700,"1",2019,"Junior"
"249",24536,"Man","Client services","2018 Q4","Junior I","Appropriate for level",55,38700,"4",2018,"Junior"
"250",24536,"Man","Client services","2018 Q3","Entry-level","Exceeds expectations",89,34900,"3",2018,"Junior"
"251",24536,"Man","Client services","2018 Q2","Entry-level","Appropriate for level",69,34900,"2",2018,"Junior"
"252",24536,"Man","Client services","2018 Q1","Entry-level","Exceeds expectations",68,34900,"1",2018,"Junior"
"253",24535,"Man","Client services","2020 Q4","Junior I","Appropriate for level",59,32900,"4",2020,"Junior"
"254",24535,"Man","Client services","2020 Q3","Junior I","Appropriate for level",61,32900,"3",2020,"Junior"
"255",24535,"Man","Client services","2020 Q2","Junior I","Appropriate for level",58,32900,"2",2020,"Junior"
"256",24535,"Man","Client services","2020 Q1","Junior I","Appropriate for level",59,32900,"1",2020,"Junior"
"257",24535,"Man","Client services","2019 Q4","Junior I","Appropriate for level",58,32900,"4",2019,"Junior"
"258",24535,"Man","Client services","2019 Q3","Entry-level","Appropriate for level",66,29200,"3",2019,"Junior"
"259",24534,"Woman","Client services","2020 Q4","Junior I","Appropriate for level",55,29600,"4",2020,"Junior"
"260",24534,"Woman","Client services","2020 Q3","Junior I","Appropriate for level",54,29600,"3",2020,"Junior"
"261",24534,"Woman","Client services","2020 Q2","Junior I","Appropriate for level",55,29600,"2",2020,"Junior"
"262",24534,"Woman","Client services","2020 Q1","Junior I","Appropriate for level",55,29600,"1",2020,"Junior"
"263",24534,"Woman","Client services","2019 Q4","Junior I","Appropriate for level",53,29600,"4",2019,"Junior"
"264",24534,"Woman","Client services","2019 Q3","Junior I","Appropriate for level",53,29600,"3",2019,"Junior"
