"","applicant_id","X1","team_applied_for","cover_letter","cv","gpa","gender","extracurriculars","work_experience","final_hired.x","pass_phase1.x","final_hired.y","pass_phase1.y","final_hired.x","pass_phase1.x","final_hired.y","pass_phase1.y"
"54",1540,54,"Data",1,1,2.8,"Woman",2,1,0,1,NA,1,0,1,NA,1
"55",1550,55,"Software",1,1,3.4,"Woman",2,2,0,1,NA,1,0,1,NA,1
"56",1560,56,"Software",0,1,2.8,"Man",1,1,0,0,NA,NA,0,0,NA,NA
"57",1570,57,"Data",0,1,2,"Man",1,0,0,0,NA,NA,0,0,NA,NA
"58",1580,58,"Software",1,0,2.1,"Woman",1,1,0,0,NA,NA,0,0,NA,NA
"59",1590,59,"Software",1,0,3.1,"Woman",1,1,0,0,NA,NA,0,0,NA,NA
"60",1600,60,"Data",1,1,3.1,"Woman",2,2,0,1,NA,1,0,1,NA,1
"61",1610,61,"Data",1,1,3.5,"Woman",1,1,0,1,NA,1,0,1,NA,1
"62",1620,62,"Data",1,1,2.1,"Man",1,1,0,1,NA,1,0,1,NA,1
"63",1630,63,"Data",0,1,3,"Woman",1,1,0,0,NA,NA,0,0,NA,NA
"64",1640,64,"Data",1,0,2.9,"Woman",1,1,0,0,NA,NA,0,0,NA,NA
"65",1650,65,"Software",1,1,2.2,"Woman",1,1,0,1,NA,1,0,1,NA,1
"66",1660,66,"Data",1,1,2.9,"Woman",1,1,0,1,NA,1,0,1,NA,1
"67",1670,67,"Software",1,1,2.7,"Man",1,1,0,1,NA,1,0,1,NA,1
"68",1680,68,"Software",1,1,2.2,"Woman",0,0,0,0,NA,NA,0,0,NA,NA
"69",1690,69,"Software",1,1,2.6,"Woman",1,1,0,1,NA,1,0,1,NA,1
"70",1700,70,"Data",0,1,2,"Man",2,1,0,0,NA,NA,0,0,NA,NA
"71",1710,71,"Software",1,1,2.5,"Woman",1,0,0,0,NA,NA,0,0,NA,NA
"72",1720,72,"Software",0,1,2.6,"Woman",2,1,0,0,NA,NA,0,0,NA,NA
"73",1730,73,"Software",0,1,2.1,"Man",1,1,0,0,NA,NA,0,0,NA,NA
"74",1740,74,"Software",1,1,3.1,"Man",1,1,0,1,NA,1,0,1,NA,1
"75",1750,75,"Software",1,1,3.4,"Woman",2,2,0,1,NA,1,0,1,NA,1
"76",1760,76,"Data",1,1,2.4,"Man",0,1,0,0,NA,NA,0,0,NA,NA
"77",1770,77,"Software",1,1,3,"Man",1,1,0,1,NA,1,0,1,NA,1
"78",1780,78,"Data",1,1,3.1,"Woman",2,2,0,1,NA,1,0,1,NA,1
"79",1790,79,"Data",0,1,2.4,"Woman",0,1,0,0,NA,NA,0,0,NA,NA
"80",1800,80,"Data",1,1,2.1,"Man",1,1,0,1,NA,1,0,1,NA,1
"81",1810,81,"Software",1,1,3.8,"Woman",2,1,0,1,NA,1,0,1,NA,1
"82",1820,82,"Data",1,1,3.3,"Man",1,1,0,1,NA,1,0,1,NA,1
"83",1830,83,"Data",1,1,3.2,"Woman",1,1,0,1,NA,1,0,1,NA,1
"84",1840,84,"Data",1,1,2.1,"Man",1,1,0,1,NA,1,0,1,NA,1
"85",1850,85,"Software",0,1,2.6,"Woman",1,1,0,0,NA,NA,0,0,NA,NA
"86",1860,86,"Data",0,1,2.3,"Man",2,1,0,0,NA,NA,0,0,NA,NA
"87",1870,87,"Software",0,1,2.4,"Man",1,1,0,0,NA,NA,0,0,NA,NA
"88",1880,88,"Software",0,1,3.2,"Man",2,1,0,0,NA,NA,0,0,NA,NA
"89",1890,89,"Data",0,1,2.5,"Woman",1,1,0,0,NA,NA,0,0,NA,NA
"90",1900,90,"Software",1,1,3.3,"Man",1,1,0,1,NA,1,0,1,NA,1
"91",1910,91,"Data",0,1,2.2,"Man",0,1,0,0,NA,NA,0,0,NA,NA
"92",1920,92,"Software",1,1,2.4,"Woman",1,1,0,1,NA,1,0,1,NA,1
"93",1930,93,"Software",0,1,2.2,"Man",1,1,0,0,NA,NA,0,0,NA,NA
"94",1940,94,"Software",0,1,2.5,"Woman",2,1,0,0,NA,NA,0,0,NA,NA
"95",1950,95,"Software",1,1,2.4,"Man",1,1,0,1,NA,1,0,1,NA,1
"96",1960,96,"Software",0,1,3.1,"Woman",2,2,0,0,NA,NA,0,0,NA,NA
"97",1970,97,"Software",1,1,3.2,"Woman",1,1,0,1,NA,1,0,1,NA,1
"98",1980,98,"Data",1,1,2.5,"Woman",2,1,0,1,NA,1,0,1,NA,1
"99",1990,99,"Data",1,1,2.7,"Man",2,1,0,1,NA,1,0,1,NA,1
"100",2000,100,"Data",1,1,2.2,"Woman",1,0,0,0,NA,NA,0,0,NA,NA
"101",2010,101,"Data",1,0,2.1,"Woman",1,1,0,0,NA,NA,0,0,NA,NA
"102",2020,102,"Software",1,1,3.5,"Man",2,2,0,1,NA,1,0,1,NA,1
"103",2030,103,"Software",1,1,2.2,"Woman",0,0,0,0,NA,NA,0,0,NA,NA
"104",2040,104,"Data",1,1,3.6,"Man",2,2,0,1,NA,1,0,1,NA,1
"105",2050,105,"Data",1,0,2.8,"Woman",1,1,0,0,NA,NA,0,0,NA,NA
"106",2060,106,"Data",1,1,2,"Woman",0,0,0,0,NA,NA,0,0,NA,NA
"107",2070,107,"Data",0,1,2.7,"Woman",1,1,0,0,NA,NA,0,0,NA,NA
"108",2080,108,"Data",1,0,3.2,"Woman",1,2,0,0,NA,NA,0,0,NA,NA
"109",2090,109,"Data",1,1,3.4,"Woman",1,1,0,1,NA,1,0,1,NA,1
"110",2100,110,"Software",0,0,2.1,"Woman",2,1,0,0,NA,NA,0,0,NA,NA
"111",2110,111,"Software",0,1,2.1,"Woman",1,1,0,0,NA,NA,0,0,NA,NA
"112",2120,112,"Software",1,1,2.4,"Prefer not to say",2,1,0,1,NA,1,0,1,NA,1
"113",2130,113,"Data",0,1,2.5,"Man",1,1,0,0,NA,NA,0,0,NA,NA
"114",2140,114,"Software",0,1,1.8,"Man",1,0,0,0,NA,NA,0,0,NA,NA
"115",2150,115,"Data",1,1,2.4,"Woman",1,0,0,0,NA,NA,0,0,NA,NA
"116",2160,116,"Software",1,1,3.5,"Woman",2,2,0,1,NA,1,0,1,NA,1
"117",2170,117,"Software",1,1,2.4,"Woman",1,1,0,1,NA,1,0,1,NA,1
"118",2180,118,"Software",1,1,2.8,"Woman",1,1,0,1,NA,1,0,1,NA,1
"119",2190,119,"Software",1,1,1.7,"Man",1,0,0,0,NA,NA,0,0,NA,NA
"120",2200,120,"Software",0,1,1.8,"Man",1,1,0,0,NA,NA,0,0,NA,NA
"121",2210,121,"Software",1,1,3.4,"Man",1,1,0,1,NA,1,0,1,NA,1
"122",2220,122,"Software",0,1,2.1,"Woman",2,1,0,0,NA,NA,0,0,NA,NA
"123",2230,123,"Software",0,1,2,"Woman",0,1,0,0,NA,NA,0,0,NA,NA
"124",2240,124,"Software",0,1,2,"Man",0,1,0,0,NA,NA,0,0,NA,NA
"125",2250,125,"Software",0,1,2.4,"Woman",1,1,0,0,NA,NA,0,0,NA,NA
"126",2260,126,"Software",1,1,3.9,"Woman",2,1,0,1,NA,1,0,1,NA,1
"127",2270,127,"Data",0,0,2.5,"Man",1,1,0,0,NA,NA,0,0,NA,NA
"128",2280,128,"Software",1,1,2.3,"Man",1,1,0,1,NA,1,0,1,NA,1
"129",2290,129,"Software",1,1,2.5,"Woman",1,1,0,1,NA,1,0,1,NA,1
"130",2300,130,"Data",1,1,3,"Man",2,1,1,1,1,1,1,1,1,1
"131",2310,131,"Software",0,1,3.4,"Man",2,1,0,0,NA,NA,0,0,NA,NA
"132",2320,132,"Data",1,0,2.1,"Prefer not to say",1,1,0,0,NA,NA,0,0,NA,NA
"133",2330,133,"Data",0,1,2.6,"Woman",1,1,0,0,NA,NA,0,0,NA,NA
"134",2340,134,"Software",0,1,2.4,"Man",2,0,0,0,NA,NA,0,0,NA,NA
"135",2350,135,"Software",0,1,2.5,"Woman",1,1,0,0,NA,NA,0,0,NA,NA
"136",2360,136,"Software",1,1,3.1,"Woman",1,1,0,1,NA,1,0,1,NA,1
"137",2370,137,"Data",0,1,1.7,"Man",0,0,0,0,NA,NA,0,0,NA,NA
"138",2380,138,"Data",0,1,2.5,"Woman",1,0,0,0,NA,NA,0,0,NA,NA
"139",2390,139,"Software",1,1,3.3,"Man",2,2,0,1,NA,1,0,1,NA,1
"140",2400,140,"Software",1,1,2.8,"Man",2,1,0,1,NA,1,0,1,NA,1
"141",2410,141,"Data",0,1,2.1,"Man",1,1,0,0,NA,NA,0,0,NA,NA
"142",2420,142,"Data",1,1,2.9,"Woman",1,1,0,1,NA,1,0,1,NA,1
"143",2430,143,"Software",1,1,2.6,"Woman",1,1,0,1,NA,1,0,1,NA,1
"144",2440,144,"Software",1,1,2.7,"Woman",1,0,0,0,NA,NA,0,0,NA,NA
"145",2450,145,"Software",1,1,2.3,"Man",1,0,0,0,NA,NA,0,0,NA,NA
"146",2460,146,"Data",1,1,2.8,"Woman",2,1,0,1,NA,1,0,1,NA,1
"147",2470,147,"Software",1,1,3.4,"Woman",1,2,0,1,NA,1,0,1,NA,1
"148",2480,148,"Data",0,1,2.4,"Woman",0,0,0,0,NA,NA,0,0,NA,NA
"149",2490,149,"Software",1,1,3,"Man",2,0,0,1,NA,1,0,1,NA,1
"150",2500,150,"Software",1,1,2.9,"Man",1,1,0,1,NA,1,0,1,NA,1
"151",2510,151,"Software",0,0,2.2,"Woman",1,1,0,0,NA,NA,0,0,NA,NA
"152",2520,152,"Data",1,1,3.1,"Woman",1,1,0,1,NA,1,0,1,NA,1
"153",2530,153,"Data",0,0,2.6,"Man",1,1,0,0,NA,NA,0,0,NA,NA
"154",2540,154,"Data",1,1,2.3,"Man",2,1,0,1,NA,1,0,1,NA,1
"155",2550,155,"Data",0,1,2,"Woman",1,1,0,0,NA,NA,0,0,NA,NA
"156",2560,156,"Data",0,1,1.9,"Woman",1,1,0,0,NA,NA,0,0,NA,NA
"157",2570,157,"Data",1,1,2.9,"Man",1,1,0,1,NA,1,0,1,NA,1
"158",2580,158,"Software",1,1,3,"Woman",1,1,0,1,NA,1,0,1,NA,1
"159",2590,159,"Software",1,1,3.6,"Man",2,1,0,1,NA,1,0,1,NA,1
"160",2600,160,"Software",1,1,2.7,"Man",1,1,0,1,NA,1,0,1,NA,1
"161",2610,161,"Software",1,0,1.6,"Woman",0,0,0,0,NA,NA,0,0,NA,NA
"162",2620,162,"Data",1,0,2.5,"Woman",1,1,0,0,NA,NA,0,0,NA,NA
"163",2630,163,"Data",0,1,2,"Woman",2,1,0,0,NA,NA,0,0,NA,NA
"164",2640,164,"Software",0,1,1.9,"Woman",1,1,0,0,NA,NA,0,0,NA,NA
"165",2650,165,"Data",0,1,2.8,"Man",1,1,0,0,NA,NA,0,0,NA,NA
"166",2660,166,"Software",1,1,3,"Woman",1,1,0,1,NA,1,0,1,NA,1
"167",2670,167,"Software",0,1,2.1,"Man",1,1,0,0,NA,NA,0,0,NA,NA
"168",2680,168,"Software",0,1,2.6,"Man",1,1,0,0,NA,NA,0,0,NA,NA
"169",2690,169,"Software",0,1,2,"Woman",1,0,0,0,NA,NA,0,0,NA,NA
"170",2700,170,"Software",1,1,3.1,"Man",2,2,0,1,NA,1,0,1,NA,1
"171",2710,171,"Software",0,1,1.9,"Man",2,0,0,0,NA,NA,0,0,NA,NA
"172",2720,172,"Software",1,1,2.9,"Man",1,1,0,1,NA,1,0,1,NA,1
"173",2730,173,"Data",1,0,2.7,"Woman",1,1,0,0,NA,NA,0,0,NA,NA
"174",2740,174,"Software",0,0,2.6,"Man",2,1,0,0,NA,NA,0,0,NA,NA
"175",2750,175,"Software",1,0,3.4,"Woman",1,1,0,0,NA,NA,0,0,NA,NA
"176",2760,176,"Data",1,1,2.5,"Man",1,1,0,1,NA,1,0,1,NA,1
"177",2770,177,"Data",1,0,2,"Man",1,1,0,0,NA,NA,0,0,NA,NA
"178",2780,178,"Software",1,0,3.4,"Woman",2,1,0,0,NA,NA,0,0,NA,NA
"179",2790,179,"Data",1,0,3.2,"Man",1,1,0,0,NA,NA,0,0,NA,NA
"180",2800,180,"Data",0,1,2.6,"Man",2,1,0,0,NA,NA,0,0,NA,NA
"181",2810,181,"Data",0,1,3.1,"Woman",2,1,0,0,NA,NA,0,0,NA,NA
"182",2820,182,"Software",0,1,1.9,"Man",1,0,0,0,NA,NA,0,0,NA,NA
"183",2830,183,"Data",0,1,2.9,"Man",1,1,0,0,NA,NA,0,0,NA,NA
"184",2840,184,"Data",0,1,2.5,"Woman",2,1,0,0,NA,NA,0,0,NA,NA
"185",2850,185,"Software",0,0,2.3,"Man",1,0,0,0,NA,NA,0,0,NA,NA
"186",2860,186,"Data",1,1,3.2,"Man",1,2,0,1,NA,1,0,1,NA,1
"187",2870,187,"Data",1,1,4,"Woman",1,1,0,1,NA,1,0,1,NA,1
"188",2880,188,"Data",1,1,2.4,"Woman",1,1,0,1,NA,1,0,1,NA,1
"189",2890,189,"Software",0,1,3.5,"Man",2,1,0,0,NA,NA,0,0,NA,NA
"190",2900,190,"Software",1,1,2.6,"Man",0,1,0,0,NA,NA,0,0,NA,NA
"191",2910,191,"Data",1,1,3.3,"Woman",1,2,0,1,NA,1,0,1,NA,1
"192",2920,192,"Data",0,1,3.1,"Man",1,1,0,0,NA,NA,0,0,NA,NA
"193",2930,193,"Software",1,0,2.8,"Man",2,1,0,0,NA,NA,0,0,NA,NA
"194",2940,194,"Software",0,1,2.1,"Man",0,0,0,0,NA,NA,0,0,NA,NA
"195",2950,195,"Data",1,1,3.3,"Woman",1,1,0,1,NA,1,0,1,NA,1
"196",2960,196,"Software",0,0,1.9,"Man",1,0,0,0,NA,NA,0,0,NA,NA
"197",2970,197,"Software",1,1,2.6,"Man",1,1,0,1,NA,1,0,1,NA,1
"198",2980,198,"Software",1,1,2.5,"Woman",1,1,0,1,NA,1,0,1,NA,1
"199",2990,199,"Software",0,1,2.2,"Woman",1,1,0,0,NA,NA,0,0,NA,NA
"200",3000,200,"Software",0,1,2.1,"Man",0,1,0,0,NA,NA,0,0,NA,NA
"201",3010,201,"Data",1,1,2.2,"Man",1,1,0,1,NA,1,0,1,NA,1
"202",3020,202,"Software",0,1,1.8,"Woman",1,0,0,0,NA,NA,0,0,NA,NA
"203",3030,203,"Data",1,1,3.7,"Man",2,1,0,1,NA,1,0,1,NA,1
"204",3040,204,"Software",1,1,2.9,"Man",2,1,0,1,NA,1,0,1,NA,1
"205",3050,205,"Software",1,1,1.9,"Man",1,1,0,0,NA,NA,0,0,NA,NA
"206",3060,206,"Data",1,1,3.8,"Man",1,1,1,1,1,1,1,1,1,1
"207",3070,207,"Software",0,1,2.1,"Woman",2,1,0,0,NA,NA,0,0,NA,NA
"208",3080,208,"Data",0,0,1.9,"Man",0,0,0,0,NA,NA,0,0,NA,NA
"209",3090,209,"Data",1,1,3.4,"Man",1,2,0,1,NA,1,0,1,NA,1
"210",3100,210,"Data",0,1,2.1,"Man",2,1,0,0,NA,NA,0,0,NA,NA
"211",3110,211,"Data",0,1,2.3,"Man",1,1,0,0,NA,NA,0,0,NA,NA
"212",3120,212,"Data",1,1,2.8,"Woman",1,0,0,0,NA,NA,0,0,NA,NA
"213",3130,213,"Data",1,1,2.3,"Woman",1,1,0,1,NA,1,0,1,NA,1
"214",3140,214,"Software",0,0,1.9,"Woman",2,1,0,0,NA,NA,0,0,NA,NA
"215",3150,215,"Data",1,1,2.2,"Man",1,1,0,1,NA,1,0,1,NA,1
"216",3160,216,"Data",1,1,2.4,"Man",1,1,0,1,NA,1,0,1,NA,1
"217",3170,217,"Software",1,1,2.9,"Woman",1,2,0,1,NA,1,0,1,NA,1
"218",3180,218,"Software",1,1,3.5,"Woman",1,1,0,1,NA,1,0,1,NA,1
"219",3190,219,"Data",1,1,3.8,"Man",1,2,0,1,NA,1,0,1,NA,1
"220",3200,220,"Software",1,1,3.6,"Woman",2,2,0,1,NA,1,0,1,NA,1
"221",3210,221,"Data",0,0,1.8,"Woman",1,0,0,0,NA,NA,0,0,NA,NA
"222",3220,222,"Software",1,1,3.1,"Woman",2,1,0,1,NA,1,0,1,NA,1
"223",3230,223,"Data",1,1,3.2,"Man",2,1,0,1,NA,1,0,1,NA,1
"224",3240,224,"Software",1,1,1.6,"Woman",0,1,0,0,NA,NA,0,0,NA,NA
"225",3250,225,"Data",1,1,3.8,"Man",1,1,0,1,NA,1,0,1,NA,1
"226",3260,226,"Software",1,1,2.7,"Woman",2,0,0,1,NA,1,0,1,NA,1
"227",3270,227,"Software",0,1,2.2,"Man",0,1,0,0,NA,NA,0,0,NA,NA
"228",3280,228,"Software",1,1,3.6,"Woman",2,1,0,1,NA,1,0,1,NA,1
"229",3290,229,"Software",0,1,2.1,"Woman",0,1,0,0,NA,NA,0,0,NA,NA
"230",3300,230,"Software",1,1,3.5,"Woman",2,2,0,1,NA,1,0,1,NA,1
"231",3310,231,"Software",1,1,3.1,"Woman",2,1,0,1,NA,1,0,1,NA,1
"232",3320,232,"Data",1,1,2.6,"Woman",1,1,0,1,NA,1,0,1,NA,1
"233",3330,233,"Data",0,1,1.7,"Woman",1,0,0,0,NA,NA,0,0,NA,NA
"234",3340,234,"Software",0,1,1.5,"Man",0,0,0,0,NA,NA,0,0,NA,NA
"235",3350,235,"Software",0,1,2.8,"Woman",1,1,0,0,NA,NA,0,0,NA,NA
"236",3360,236,"Software",1,1,2.8,"Man",1,1,0,1,NA,1,0,1,NA,1
"237",3370,237,"Data",1,1,2,"Man",1,0,0,0,NA,NA,0,0,NA,NA
"238",3380,238,"Software",0,1,3.3,"Man",1,2,0,0,NA,NA,0,0,NA,NA
"239",3390,239,"Data",1,1,3.9,"Man",2,2,0,1,NA,1,0,1,NA,1
"240",3400,240,"Software",1,1,2.8,"Woman",2,1,0,1,NA,1,0,1,NA,1
"241",3410,241,"Data",0,1,1.9,"Man",0,1,0,0,NA,NA,0,0,NA,NA
"242",3420,242,"Software",0,1,2.9,"Man",2,2,0,0,NA,NA,0,0,NA,NA
"243",3430,243,"Data",0,1,3.4,"Woman",1,2,0,0,NA,NA,0,0,NA,NA
"244",3440,244,"Data",1,1,3.2,"Man",2,1,0,1,NA,1,0,1,NA,1
"245",3450,245,"Software",0,1,2.1,"Woman",1,1,0,0,NA,NA,0,0,NA,NA
"246",3460,246,"Software",0,1,2.4,"Woman",2,1,0,0,NA,NA,0,0,NA,NA
"247",3470,247,"Software",1,1,2.3,"Woman",1,1,0,1,NA,1,0,1,NA,1
"248",3480,248,"Software",1,1,3.8,"Woman",1,2,0,1,NA,1,0,1,NA,1
"249",3490,249,"Software",1,1,2,"Woman",1,1,0,1,NA,1,0,1,NA,1
"250",3500,250,"Data",1,1,3.2,"Woman",2,1,0,1,NA,1,0,1,NA,1
"251",3510,251,"Software",1,1,1.8,"Woman",0,1,0,0,NA,NA,0,0,NA,NA
"252",3520,252,"Software",0,0,1.8,"Man",1,1,0,0,NA,NA,0,0,NA,NA
"253",3530,253,"Software",0,1,1.7,"Woman",1,1,0,0,NA,NA,0,0,NA,NA
"254",3540,254,"Software",1,1,3.8,"Woman",2,2,0,1,NA,1,0,1,NA,1
"255",3550,255,"Data",0,1,2.2,"Man",1,0,0,0,NA,NA,0,0,NA,NA
"256",3560,256,"Software",1,1,3.7,"Man",2,2,1,1,1,1,1,1,1,1
"257",3570,257,"Software",1,1,3.4,"Man",2,1,0,1,NA,1,0,1,NA,1
"258",3580,258,"Software",1,1,3.5,"Woman",1,2,0,1,NA,1,0,1,NA,1
"259",3590,259,"Data",1,1,2,"Woman",2,0,0,1,NA,1,0,1,NA,1
"260",3600,260,"Software",0,1,1.6,"Woman",1,1,0,0,NA,NA,0,0,NA,NA
"261",3610,261,"Software",0,1,1.6,"Man",1,1,0,0,NA,NA,0,0,NA,NA
"262",3620,262,"Software",1,1,2.2,"Man",1,1,0,1,NA,1,0,1,NA,1
"263",3630,263,"Data",1,1,2.4,"Prefer not to say",1,0,0,0,NA,NA,0,0,NA,NA
"264",3640,264,"Software",1,1,3.3,"Man",1,1,0,1,NA,1,0,1,NA,1
"265",3650,265,"Software",0,1,2.1,"Woman",1,1,0,0,NA,NA,0,0,NA,NA
"266",3660,266,"Software",0,1,2.8,"Man",1,1,0,0,NA,NA,0,0,NA,NA
"267",3670,267,"Data",1,1,3.4,"Woman",2,1,0,1,NA,1,0,1,NA,1
"268",3680,268,"Software",1,1,3.1,"Man",2,1,0,1,NA,1,0,1,NA,1
"269",3690,269,"Software",1,1,2,"Man",2,1,0,1,NA,1,0,1,NA,1
"270",3700,270,"Data",1,1,4,"Woman",1,2,0,1,NA,1,0,1,NA,1
"271",3710,271,"Software",0,1,1.5,"Woman",1,1,0,0,NA,NA,0,0,NA,NA
"272",3720,272,"Software",1,1,2,"Woman",1,1,0,1,NA,1,0,1,NA,1
"273",3730,273,"Software",1,0,3.1,"Man",2,1,0,0,NA,NA,0,0,NA,NA
"274",3740,274,"Data",1,1,1.5,"Man",0,0,0,0,NA,NA,0,0,NA,NA
"275",3750,275,"Software",0,1,1.6,"Man",1,1,0,0,NA,NA,0,0,NA,NA
"276",3760,276,"Data",1,1,3,"Woman",1,1,0,1,NA,1,0,1,NA,1
"277",3770,277,"Data",0,1,2.9,"Woman",1,0,0,0,NA,NA,0,0,NA,NA
"278",3780,278,"Software",0,1,2.1,"Man",1,1,0,0,NA,NA,0,0,NA,NA
"279",3790,279,"Data",1,1,3.8,"Man",1,1,0,1,NA,1,0,1,NA,1
"280",3800,280,"Software",1,1,3.2,"Woman",1,1,0,1,NA,1,0,1,NA,1
"281",3810,281,"Software",1,1,3.1,"Woman",2,2,0,1,NA,1,0,1,NA,1
"282",3820,282,"Data",1,0,2,"Man",1,0,0,0,NA,NA,0,0,NA,NA
"283",3830,283,"Software",1,1,2.7,"Woman",2,1,0,1,NA,1,0,1,NA,1
"284",3840,284,"Data",1,1,4,"Woman",1,1,0,1,NA,1,0,1,NA,1
"285",3850,285,"Software",1,1,4,"Woman",1,2,0,1,NA,1,0,1,NA,1
"286",3860,286,"Data",1,1,2.6,"Man",2,1,0,1,NA,1,0,1,NA,1
"287",3870,287,"Software",1,1,3.3,"Woman",1,1,0,1,NA,1,0,1,NA,1
"288",3880,288,"Data",1,1,2.3,"Man",1,0,0,0,NA,NA,0,0,NA,NA
"289",3890,289,"Data",1,1,3.6,"Man",1,1,0,1,NA,1,0,1,NA,1
"290",3900,290,"Software",1,1,2.6,"Man",2,1,0,1,NA,1,0,1,NA,1
